gene,log2FC,pvalue
202896_s_at,1.0342069827349958,1.096890882256594e-15
202902_s_at,1.0838123294053172,6.61419511373617e-05
202908_at,-2.2830332173198133,5.700793862725323e-26
202911_at,1.028909136749796,3.2242691056997096e-21
202912_at,1.7399804658810627,9.826039406215814e-06
202917_s_at,2.7581664675253474,0.0008645668630564539
202920_at,-1.3927179227185538,6.563563399087448e-05
202932_at,1.0906318799671162,5.4278928327333315e-11
202935_s_at,1.243412408879145,0.00013571562185165788
202936_s_at,1.2832902713072087,1.8206596457032028e-05
202948_at,-1.0334856152370513,3.470206539893868e-07
202952_s_at,-1.5533910331597696,8.061967318307838e-08
202954_at,1.9205226527815835,5.673107607658862e-09
202962_at,-1.7196818827075901,4.753583319226227e-13
202965_s_at,2.008953847629487,3.5801624708125864e-10
202966_at,1.0352410961907363,9.472023946018209e-08
202982_s_at,-1.0473929131268838,1.8841653446438218e-09
202991_at,-2.5155963688681853,6.412756118651008e-12
202994_s_at,-1.4123409536859395,9.901011425866723e-07
202995_s_at,-1.8742023787339006,6.124356027523368e-07
203009_at,-1.003690748150178,2.5622303208687005e-07
203021_at,1.8496808495478234,0.0009557961371977441
203022_at,1.2143332447245827,3.20638435172317e-09
203023_at,1.0419557166346944,2.2190696980304107e-11
203029_s_at,-1.1034157193751715,4.087893328984244e-05
203066_at,-1.4958890380926295,1.0913250657774422e-14
203074_at,1.9020632885722106,4.1651530734722236e-07
203083_at,-1.6459565908468061,5.639439118395441e-09
203108_at,-2.949131482597971,1.7518191784472058e-13
203117_s_at,-1.3525759687585621,1.9771539586535698e-17
203120_at,1.4424147355439842,2.966276606519621e-18
203126_at,2.708983296793644,2.6267202154983e-16
203128_at,-1.5181910030145245,2.1006719870607605e-17
203130_s_at,-2.383576135927652,2.2710838051754664e-09
203132_at,-1.003654102493833,9.620256174274421e-11
203139_at,1.0209105672787064,4.438013399026518e-05
203143_s_at,-1.8722187695258974,4.287007000596919e-16
203144_s_at,-1.2690271362016983,4.171667998468552e-11
203151_at,-1.1094730008221427,9.84300577706723e-09
203210_s_at,1.2226990134283353,2.2402719529343306e-06
203213_at,1.4771109756097562,5.196273756371674e-09
203214_x_at,2.100590060290492,4.292424704820163e-09
203215_s_at,-1.0267532255412437,9.173268991464178e-07
203221_at,1.1652220608385848,3.9991221617177386e-05
203222_s_at,1.2106613236503145,2.5054796004468927e-05
203223_at,-1.2393751932036166,2.4071096426181883e-08
203226_s_at,-1.320024609482048,8.04565509758943e-12
203227_s_at,-1.4316620224719117,1.3079635108583852e-15
203234_at,1.011378944916415,6.557698454423465e-07
203256_at,2.2341645957796645,1.018804969128093e-10
203263_s_at,1.7496281337352722,2.0215080022033575e-16
203264_s_at,1.3195475089065507,1.0639882996193435e-11
203276_at,1.3724382817210188,3.3434836979070482e-09
203287_at,1.7068122252671971,2.6491124713920063e-07
